Total Margin (bin),Hospital,Total Margin
0.00,Box Butte General Hospital,0.03
0.00,Annie Jeffrey Memorial County Health Center,0.035
0.00,Cozad Community Hospital,0.035
0.00,Warren Memorial Hospital,0.036
0.00,CHI Health Schuyler,0.038
0.00,Morrill County Community Hospital,0.038
0.00,Memorial Hospital,0.042
0.00,Dundy County Hospital,0.047
0.05,Rock County Hospital,0.05
0.05,Cherry County Hospital,0.054
0.05,West Holt Memorial Hospital,0.067
0.05,Memorial Community Hospital & Health System,0.067
0.05,Fillmore County Hospital,0.07
0.05,Jefferson Community Health & Life,0.071
0.05,Thayer County Health Services,0.078
0.05,Community Hospital,0.081
0.05,"Community Medical Center, Inc",0.084
0.05,Lexington Regional Health Center,0.097
0.05,Providence Medical Center,0.097
0.10,Jennie M Melham Memorial Medical Center,0.101
0.10,Callaway District Hospital,0.102
0.10,Howard County Medical Center,0.103
0.10,Johnson County Hospital,0.103
0.10,Franciscan Healthcare,0.103
0.10,Chadron Community Hospital Corp,0.107
0.10,Franklin County Memorial Hospital,0.109
0.10,Brown County Hospital,0.111
0.10,Nemaha County Hospital,0.113
0.10,York General Hospital,0.113
0.10,Gordon Memorial Hospital District,0.114
0.10,Pawnee County Memorial Hospital,0.12
0.10,Butler County Health Care Center,0.121
0.10,Antelope Memorial Hospital,0.123
0.10,Saunders Medical Center,0.124
0.10,Phelps Memorial Health Center,0.125
0.10,Chase County Community Hospital,0.127
0.10,Boone County Health Center,0.13
0.10,Crete Area Medical Center,0.137
0.10,Kimball Health Services,0.14
0.10,Osmond General Hospital,0.143
0.10,Pender Community Hospital,0.146
0.15,Brodstone Healthcare,0.159
0.15,Memorial Hospital,0.163
0.15,Avera St Anthony's Hospital,0.164
0.15,CHI Health Plainview,0.181
0.15,Merrick Medical Center,0.186
0.15,Kearney County Health Services,0.193
0.15,Niobrara Valley Hospital,0.195
0.20,Valley County Health System,0.202
0.25,Henderson Health Care Services,0.273
0.35,CHI Health St Mary's,0.376
-0.05,Littleton Regional Healthcare,-0.002
0.00,Cottage Hospital,0.012
0.00,Androscoggin Valley Hospital,0.038
0.00,Huggins Hospital,0.04
0.00,New London Hospital,0.044
0.00,Monadnock Community Hospital,0.048
0.05,Weeks Medical Center,0.052
0.05,Upper Connecticut Valley Hospital,0.068
0.05,Memorial Hospital,0.068
0.05,Speare Memorial Hospital,0.074
0.05,Valley Regional Hospital,0.084
0.05,Alice Peck Day Memorial Hospital,0.085
0.30,Concord Hospital- Franklin,0.311
-0.05,Socorro General Hospital,-0.049
0.00,Cibola General Hospital,0.001
0.00,Dr Dan C Trigg Memorial Hospital,0.006
0.00,Gila Regional Medical Center,0.008
0.00,Holy Cross Hospital A Div of Taos Health Systems,0.028
0.05,Miners' Colfax Medical Center,0.05
0.05,Sierra Vista Hospital,0.095
0.10,Union County General Hospital,0.112
0.10,Nor-Lea Hospital District,0.135
0.10,Lincoln County Medical Center,0.147
0.20,Mimbres Memorial Hospital,0.212
-0.15,Humboldt General Hospital,-0.102
0.00,Banner Churchill Community Hospital,0.006
0.00,Mount Grant General Hospital,0.035
0.00,Boulder City Hospital,0.035
0.00,Mesa View Regional Hospital,0.036
0.05,South Lyon Medical Center,0.052
0.05,Desert View Hospital,0.063
0.05,Pershing General Hospital,0.077
0.10,Incline Village Health Center,0.134
0.15,Carson Valley Medical Center,0.151
0.15,William Bee Ririe Hospital,0.163
0.20,Grover C Dils Medical Center,0.223
0.35,Battle Mountain General Hospital,0.357
-0.25,Margaretville Memorial Hospital,-0.209
-0.05,Lewis County General Hospital,-0.03
-0.05,Schuyler Hospital,-0.026
0.00,Clifton Fine Hospital,0.024
0.00,Medina Memorial Hospital,0.03
0.00,Gouverneur Hospital,0.034
0.00,"Community Memorial Hospital, Inc",0.04
0.00,"Cuba Memorial Hospital, Inc",0.044
0.00,"Carthage Area Hospital, Inc",0.047
0.05,Elizabethtown Community Hospital,0.072
0.05,Soldiers and Sailors Memorial Hospital of Yates,0.077
0.05,O'connor Hospital,0.081
0.05,"Delaware Valley Hospital, Inc",0.095
0.10,Little Falls Hospital,0.101
0.10,River Hospital Clinics,0.12
0.15,Ellenville Regional Hospital,0.181
0.20,Cobleskill Regional Hospital,0.242
1.00,Garnet Health Medical Center-Catskills(Gmhermann),1.029
-0.15,Community Memorial Hospital,-0.117
-0.10,Harrison Community Hospital,-0.066
-0.10,Adena Fayette Medical Center,-0.054
-0.05,Fulton County Health Center,-0.033
-0.05,Twin City Medical Center,-0.01
-0.05,Community Hospitals and Wellness Centers,-0.002
0.00,Paulding County Hospital,0.001
0.00,Fostoria Community Hospital,0.002
0.00,Magruder Hospital,0.004
0.00,Mercy Health-Allen Hospital,0.014
0.00,"Barnesville Hospital Association, Inc",0.02
0.00,University Hospitals Conneaut Medical Center,0.031
0.00,"Henry County Hospital, Inc",0.034
0.00,Adena Pike Medical Center,0.043
0.00,Galion Community Hospital,0.046
0.00,Defiance Regional Medical Center,0.049
0.05,Mercy Health - Urbana Hospital,0.05
0.05,Adams County Regional Medical Center,0.054
0.05,Mercy Health - Willard Hospital,0.056
0.05,Greenfield Area Medical Center,0.058
0.10,Selby General Hospital,0.122
0.10,Aultman Orrville Hospital,0.135
0.15,OhioHealth Shelby Hospital,0.157
0.15,Hocking Valley Community Hospital,0.167
0.15,UHHS Memorial Hospital of Geneva,0.177
0.15,Wyandot Memorial Hospital,0.192
0.20,Hardin Memorial Hospital,0.229
0.25,Bucyrus Community Hospital,0.296
0.30,Highland District Hospital,0.327
0.30,Morrow County Hospital,0.339
0.35,Holzer Medical Center Jackson,0.393
0.45,Bluffton Hospital,0.46
0.45,Lodi Community Hospital,0.493
-0.35,Rural Wellness Fairfax Hospital,-0.335
-0.35,Rural Wellness Stroud Hospital,-0.334
-0.35,The Physicians' Hospital In Anadarko,-0.312
-0.30,"Haskell Regional Hospital, Inc",-0.273
-0.15,Alliancehealth Madill,-0.145
-0.15,Harmon Memorial Hospital,-0.139
-0.15,Prague Regional Memorial Hospital,-0.123
-0.10,Memorial Hospital of Texas County Authority,-0.099
-0.10,Roger Mills Memorial Hospital,-0.094
-0.10,Mangum Regional Medical Center,-0.092
-0.10,Ascension St John Sapulpa,-0.072
-0.10,Ascension St John Nowata,-0.062
-0.05,"Coal County General Hospital, Inc.",-0.034
-0.05,Carnegie Tri-County Municipal Hospital,-0.022
-0.05,"Pawhuska Hospital, Inc",-0.016
-0.05,Okeene Municipal Hospital,-0.012
-0.05,Seiling Municipal Hospital,-0.011
-0.05,Mercy Health Love County,-0.01
-0.05,Fairview Regional Medical Center Authority,-0.009
-0.05,Drumright Regional Hospital,-0.004
0.00,Cordell Memorial Hospital,0.009
0.00,Share Medical Center,0.015
0.00,Beaver County Memorial Hospital,0.04
0.00,Atoka County Medical Center,0.043
0.00,"Mercy Hospital Logan County, Inc",0.044
0.00,McCurtain Memorial Hospital,0.045
0.05,"Mercy Hospital Kingfisher, Inc",0.055
0.05,"Weatherford Regional Hospital, Inc of Weatherford",0.057
0.05,Newman Memorial Hospital,0.058
0.05,Mercy Hospital Tishomingo,0.064
0.05,Harper County Community Hospital,0.071
0.05,Cimarron Memorial Hospital,0.074
0.05,"Mercy Hospital Watonga, Inc",0.076
0.05,Eastern Oklahoma Medical Center,0.086
0.05,Holdenville General Hospital,0.099
0.10,Creek Nation Community Hospital,0.113
0.10,"Mercy Hospital Healdton, Inc.",0.12
0.10,Arbuckle Memorial Hospital Authority,0.142
0.10,Cleveland Area Hospital,0.143
0.15,Jefferson County Hospital,0.17
-0.15,Providence Seaside Hospital,-0.121
-0.05,Lake District Hospital,-0.015
-0.05,Providence Hood River Memorial Hospital,-0.005
-0.05,Harney District Hospital,-0.002
0.00,Samaritan North Lincoln Hospital,0.032
0.05,Lower Umpqua Hospital District,0.05
0.05,"Saint Alphonsus Medical Center - Baker City, Inc",0.051
0.05,Peace Harbor Medical Center,0.052
0.05,Adventist Health Tillamook,0.062
0.05,Grande Ronde Hospital,0.068
0.05,Coquille Valley Hospital District,0.069
0.05,Pioneer Memorial Hospital,0.085
0.05,Blue Mountain Hospital,0.091
0.10,Southern Coos Hospital & Health Center,0.106
0.10,Samaritan Pacific Community Hospital,0.107
0.10,Columbia Memorial Hospital,0.107
0.10,Good Shepherd Medical Center,0.113
0.10,Samaritan Lebanon Community Hospital,0.116
0.15,Wallowa Memorial Hospital,0.161
0.15,Curry General Hospital,0.174
0.20,Salem Health West Valley,0.223
0.25,St Anthony Hospital,0.26
0.35,St Charles Madras,0.369
0.40,Peacehealth Cottage Grove Community Medical Center,0.435
0.45,St Charles Prineville,0.468
-0.05,Bucktail Medical Center,-0.044
-0.05,Endless Mountains Health Systems,-0.044
0.00,Geisinger Jersey Shore Hospital,0.031
0.00,Fulton County Medical Center,0.033
0.00,UPMC Cole,0.035
0.05,LECOM Health Corry Memorial Hospital,0.06
0.05,Conemaugh Meyersdale Medical Center,0.062
0.05,Barnes-Kasson County Hospital,0.066
0.05,Titusville Area Hospital,0.092
0.10,Penn Highlands Tyrone,0.105
0.10,Conemaugh Miners Medical Center,0.106
0.10,UPMC Muncy,0.108
0.10,Penn Highlands Elk,0.135
0.15,UPMC Wellsboro,0.18
0.20,Troy Community Hospital,0.232
0.25,Penn Highlands Brookville,0.29
-0.05,Abbeville Area Medical Center,-0.018
0.00,Allendale County Hospital,0.015
0.05,Edgefield County Healthcare An Affiliate of Self R,0.062
-0.10,Monument Health Custer Hospital,-0.089
-0.05,Winner Regional Healthcare Center - CAH,-0.03
-0.05,Monument Health Lead-Deadwood Hospital,-0.019
-0.05,Monument Health Sturgis Hospital,-0.004
0.00,Sanford Chamberlain Medical Center,0.015
0.00,Avera Gregory Hospital,0.026
0.05,Douglas County Memorial Hospital-CAH,0.051
0.05,Faulkton Area Medical Center,0.064
0.05,Avera Missouri River Health Center,0.08
0.05,Bennett County Hospital and Nursing Home - CAH,0.083
0.05,Avera Queen of Peace,0.083
0.05,Mobridge Regional Hospital - CAH,0.094
0.10,Eureka Community Health Services - CAH,0.1
0.10,Sanford Canton-Inwood Medical Center - CAH,0.1
0.10,Coteau Des Prairies Health Care System,0.1
0.10,Fall River Hospital - CAH,0.104
0.10,Huron Regional Medical Center,0.116
0.10,Community Memorial Hospital,0.117
0.10,Freeman Medical Center - CAH,0.117
0.10,Hans P Peterson Memorial Hospital - CAH,0.123
0.10,Madison Regional Health System,0.127
0.10,Landmann-Jungman Memorial Hospital - CAH,0.131
0.10,Bowdle Hospital - CAH,0.139
0.10,Pioneer Memorial Hospital - CAH,0.139
0.10,Avera Weskota Memorial Medical Center - CAH,0.15
0.15,Sanford Vermillion Hospital,0.155
0.15,St Michael's Hospital - CAH,0.162
0.15,Wagner Community Memorial Hospital - CAH,0.165
0.15,Sanford Hospital Webster - CAH,0.191
0.15,Platte Health Center,0.197
0.15,Avera Flandreau Hospital - CAH,0.199
0.20,Avera Hand County Memorial Hospital and Clinic,0.205
0.20,Marshall County Healthcare Center - CAH,0.208
0.20,Sanford Clear Lake Medical Center,0.208
0.20,Community Memorial Hospital,0.224
0.20,Milbank Area Hospital/Avera Health,0.241
0.25,Avera St Benedict Health Center - CAH,0.264
0.30,Avera De Smet Memorial Hospital - CAH,0.308
0.30,Avera Dells Area Hospital  - CAH,0.309
-0.15,"Jellico Regional Hospital, LLC",-0.132
-0.15,Hancock County Hospital,-0.128
-0.15,Big South Fork Medical Center,-0.125
-0.10,Houston County Community Hospital,-0.089
-0.05,Lauderdale Community Hospital,-0.044
-0.05,Ascension Saint Thomas Three Rivers,-0.013
-0.05,Marshall Medical Center,-0.012
-0.05,Rhea Medical Center,-0.008
0.00,Ascension Saint Thomas Hickman,0.022
0.00,Johnson County Community Hospital,0.031
0.05,Riverview Regional Medical Center,0.059
0.05,West Tennessee Healthcare Camden Hospital,0.067
0.05,Macon Community Hospital,0.095
0.10,Trousdale Medical Center,0.147
0.15,Erlanger Bledsoe Hospital,0.17
0.15,West Tennessee Healthcare Bolivar Hospital,0.172
-0.35,Hill Regional Hospital,-0.348
-0.20,Baylor Scott & White Medical Center -Taylor,-0.189
-0.20,Mid Coast Medical Center - Central,-0.157
-0.15,Haskell Memorial Hospital,-0.14
-0.15,Concho County Hospital,-0.12
-0.15,Cochran Memorial Hospital,-0.101
-0.10,Pecos County Memorial Hospital,-0.087
-0.10,Yoakum County Hospital,-0.08
-0.10,Memorial Hospital,-0.077
-0.10,Swisher Memorial Hospital,-0.058
-0.10,Throckmorton County Memorial Hospital,-0.054
-0.10,W J Mangold Memorial Hospital,-0.053
-0.05,Big Bend Regional Medical Center,-0.048
-0.05,Ward Memorial Hospital,-0.032
-0.05,Cogdell Memorial Hospital,-0.029
-0.05,Mitchell County Hospital District,-0.026
-0.05,Hansford County Hospital,-0.026
-0.05,McCamey Hospital,-0.019
-0.05,Stonewall Memorial Hospital District,-0.01
-0.05,TMC- Bonham Hospital,-0.006
0.00,Riceland Medical Center,0
0.00,Coon Memorial Hospital,0.001
0.00,Comanche County Medical Center,0.005
0.00,Fisher County Hospital District,0.005
0.00,Sweeny Community Hospital,0.005
0.00,Omnipoint Health Hospital,0.008
0.00,Lavaca Medical Center,0.012
0.00,Frio Regional Hospital,0.033
0.00,Hardeman County Memorial Hospital,0.035
0.00,Memorial Medical Center,0.039
0.00,Ascension Seton Edgar B Davis,0.039
0.00,Golden Plains Community Hospital,0.04
0.00,Crockett Medical Center,0.042
0.00,North Runnels Hospital,0.042
0.00,Memorial Hospital,0.043
0.00,Coryell Memorial Hospital,0.045
0.05,Shamrock General Hospital,0.052
0.05,Limestone Medical Center,0.054
0.05,Jackson Healthcare Center,0.061
0.05,Palacios Community Medical Center,0.071
0.05,Liberty Dayton Regional Medical Center,0.071
0.05,Lynn County Hospital District,0.072
0.05,Muenster Memorial Hospital,0.076
0.05,Parmer County Community Hospital,0.078
0.05,Lillian M Hudspeth Memorial Hospital,0.079
0.05,Dimmit Regional Hospital,0.091
0.05,Goodall Witcher Hospital,0.091
0.05,Otto Kaiser Memorial Hospital,0.093
0.05,Christus Mother Frances Hospital- Winnsboro,0.099
0.10,Muleshoe Area Medical Center,0.106
0.10,Hamilton General Hospital,0.113
0.10,AdventHealth Rollins Brook,0.113
0.10,Medina Regional Hospital,0.114
0.10,Refugio County Memorial Hospital,0.118
0.10,Madison St Joseph Health Center,0.119
0.10,UT Health East Texas Quitman Hospital,0.127
0.10,Yoakum Community Hospital,0.13
0.10,Reagan Memorial Hospital,0.131
0.10,Ascension Seton Highland Lakes,0.131
0.10,Hamilton Hospital,0.132
0.10,Collingsworth General Hospital,0.143
0.10,UT Health East Texas Pittsburg Hospital,0.145
0.10,Clay County Memorial Hospital,0.146
0.15,Rice Medical Center,0.153
0.15,Ochiltree General Hospital,0.157
0.15,Sabine County Hospital,0.175
0.15,Electra Memorial Hospital,0.181
0.15,Culberson Hospital,0.185
0.15,Coleman County Medical Center Company,0.191
0.15,Plains Memorial Hospital,0.191
0.15,Burleson St Joseph Health Center,0.193
0.20,Winkler County Memorial Hospital,0.219
0.20,Schleicher County Medical Center,0.227
0.25,Kimble Hospital,0.26
0.25,Rankin Hospital Medical Clinic,0.272
0.25,Parkview Hospital,0.273
0.25,Crane County Hospital District,0.273
0.25,Martin County Hospital District,0.282
0.30,Christus Mother Frances Hospital- Jacksonville,0.315
0.30,Grimes St Joseph Health Center,0.33
0.30,Ballinger Memorial Hospital,0.34
0.35,Iraan General Hospital,0.366
0.45,Heart of Texas Memorial Hospital,0.463
0.60,Knox County Hospital,0.636
1.05,Uvalde Memorial Hospital,1.065
1.15,Reeves County Hospital District,1.156
-0.15,Fillmore Community Hospital,-0.115
0.00,Beaver Valley Hospital,0.022
0.05,Central Valley Medical Center - CAH,0.053
0.05,Gunnison Valley Hospital,0.07
0.05,Blue Mountain Hospital,0.073
0.05,Sanpete Valley Hospital - CAH,0.083
0.05,Delta Community Hospital,0.086
0.10,Moab Regional Hospital,0.102
0.10,Garfield Memorial Hospital,0.115
0.10,San Juan Hospital,0.129
0.10,Heber Valley Hospital,0.131
0.15,Milford Memorial Hospital,0.155
0.30,Kane County Hospital,0.312
-0.15,Lee County Community Hospital,-0.12
-0.15,Rappahannock General Hospital,-0.107
-0.05,Carilion Giles Community Hospital,-0.025
0.00,"Page Memorial Hospital, Inc",0.019
0.05,Dickenson Community Hospital,0.072
0.05,Carilion Stonewall Jackson Hospital,0.087
0.10,Shenandoah Memorial Hospital,0.122
0.20,Bath Community Hospital,0.211
0.00,North Country Hospital and Health Center,0
0.00,Northeastern Vermont Regional Hospital,0.017
0.00,Grace Cottage Hospital,0.034
0.00,Copley Hospital,0.035
0.05,"Porter Hospital, Inc",0.063
0.05,Mt Ascutney Hospital,0.063
0.05,Gifford Medical Center,0.066
0.05,Springfield Hospital,0.082
-0.15,Othello Community Hospital,-0.109
-0.15,Providence St Joseph Hospital,-0.107
0.00,Columbia Basin Hospital,0.011
0.00,East Adams Rural Hospital,0.015
0.00,Lourdes Medical Center,0.02
0.00,Providence Mount Carmel Hospital,0.021
0.00,Garfield County Memorial Hospital,0.022
0.00,Peacehealth Peace Island Medical Center,0.023
0.00,Willapa Harbor Hospital,0.023
0.00,Lake Chelan Community Hospital,0.024
0.00,Arbor Health Morton Hospital,0.032
0.00,Coulee Medical Center,0.033
0.00,Dayton General Hospital,0.041
0.00,Pullman Regional Hospital,0.041
0.00,Snoqualmie Valley Hospital,0.043
0.00,Newport Community Hospital,0.044
0.00,Jefferson Healthcare,0.045
0.00,Whidbeyhealth Medical Center,0.046
0.00,Skyline Hospital,0.048
0.05,Three Rivers Hospital,0.057
0.05,Ocean Beach Hospital,0.057
0.05,Forks Community Hospital,0.058
0.05,Mason General Hospital & Family of Clinics,0.06
0.05,Peacehealth United General Medical Center,0.062
0.05,Klickitat Valley Hospital,0.068
0.05,Summit Pacific Medical Center,0.074
0.05,North Valley Hospital,0.078
0.05,Tri-State Memorial Hospital,0.079
0.05,Whitman Hospital and Medical Center,0.085
0.05,Mid Valley Hospital,0.089
0.05,Kittitas Valley Community Hospital,0.095
0.05,Astria Sunnyside Hospital,0.098
0.10,Lincoln Hospital,0.104
0.10,Odessa Memorial Healthcare Center,0.121
0.10,Prosser Memorial Hospital,0.14
0.10,Cascade Medical Center,0.141
0.15,Ferry County Memorial Hospital,0.189
0.25,St Elizabeth Hospital,0.251
0.35,Quincy Valley Hospital,0.362
-0.20,Mercy Walworth Hospital & Medical Center,-0.164
-0.15,Aspirus Merrill Hospital,-0.124
-0.05,Aspirus Stanley Hospital,-0.037
-0.05,Mayo Clinic Health System-Oakridge,-0.011
-0.05,Mayo Clinic Hlth Systm Franciscan Hlthcare Sparta,-0.011
0.00,Marshfield Medical Center - Neillsville,0.003
0.00,Marshfield Medical Center - Ladysmith,0.016
0.00,Cumberland Memorial Hospital,0.035
0.00,Amery Hospital & Clinic,0.037
0.00,Black River Memorial Hospital,0.038
0.00,Reedsburg Area Medical Center,0.04
0.00,St Croix Regional Medical Center,0.046
0.00,AdventHealth Durand,0.048
0.05,Bellin Health Oconto Hospital,0.051
0.05,Spooner Health System,0.053
0.05,SSM Health Ripon Community Hospital,0.053
0.05,HSHS St Clare Memorial Hospital,0.054
0.05,Mayo Clinic Health System-Chippewa Valley,0.054
0.05,River Falls Area Hospital,0.055
0.05,Western Wisconsin Health,0.058
0.05,Vernon Memorial Hospital,0.062
0.05,Westfields Hospital and Clinic,0.068
0.05,Tomah Memorial Hospital,0.076
0.05,Richland Hospital,0.077
0.05,Aspirus Eagle River Hospital,0.085
0.05,Memorial Hospital of Lafayette County,0.088
0.05,Crossing Rivers Health Medical Center,0.092
0.05,Door County Medical Center,0.093
0.05,Edgerton Hospital and Health Services,0.094
0.05,Indianhead Medical Center Shell Lake,0.094
0.05,Upland Hills Health,0.098
0.10,Burnett Medical Center,0.1
0.10,Aspirus Tomahawk Hospital,0.104
0.10,Moundview Memorial Hospital and Clinics,0.105
0.10,Hayward Area Memorial Hospital,0.108
0.10,Grant Regional Health Center,0.111
0.10,Ladd Memorial Hospital,0.112
0.10,Gundersen Boscobel Area Hospital and Clinics,0.12
0.10,Marshfield Medical Center - Park Falls,0.121
0.10,Gundersen Tri-County Hospital and Clinics,0.124
0.10,Memorial Medical Center,0.126
0.10,Mayo Clinic Health System-Northland,0.127
0.10,Southwest Health Center,0.14
0.15,Thedacare Medical Center - Wild Rose Inc,0.154
0.15,Hudson Hospital & Clinic,0.157
0.15,Gundersen St Josephs Hospital and Clinics,0.159
0.15,Stoughton Hospital,0.165
0.15,Thedacare Medical Center - Berlin Inc,0.17
0.15,"Aspirus Medford Hospital & Clinics, Inc",0.17
0.15,Prairie Ridge Health,0.179
0.15,Ascension Calumet Hospital,0.187
0.20,Thedacare Medical Center - Shawano Inc,0.2
0.20,Thedacare Medical Center New London,0.217
0.20,Essentia Health St Mary's Hospital - Superior,0.226
0.20,SSM Health Waupun Memorial Hospital,0.234
0.20,Thedacare Medical Center - Waupaca Inc,0.238
0.20,Aspirus Langlade Hospital,0.245
0.20,Mayo Clinic Health System-Red Cedar,0.246
-0.25,"Grafton City Hospital, Inc",-0.216
-0.10,Webster Memorial Hospital,-0.059
-0.05,Grant Memorial Hospital,-0.017
-0.05,Preston Memorial Hospital,-0.016
-0.05,Hampshire Memorial Hospital,-0.003
0.00,Montgomery General Hospital,0.001
0.00,Roane General Hospital,0.016
0.05,"Broaddus Hospital Association, Inc",0.052
0.05,"Boone Memorial Hospital, Inc",0.056
0.05,Pocahontas Memorial Hospital,0.071
0.05,Minnie Hamilton Health System,0.074
0.05,Summers County ARH Hospital,0.076
0.05,Summersville Regional Medical Center,0.076
0.05,Valley Health War Memorial Hospital,0.086
0.10,Sistersville General Hospital,0.101
0.10,Jackson General Hospital,0.103
0.10,"Potomac Valley Hospital of Wv, Inc",0.123
0.15,"Braxton County Memorial Hospital, Inc",0.151
0.15,"St Joseph's Hospital of Buckhannon, Inc",0.167
0.15,Jefferson Medical Center,0.17
0.60,"Camc Plateau Medical Center, Inc",0.601
-0.15,Platte County Memorial Hospital,-0.103
-0.05,Community Hospital,-0.013
-0.05,South Big Horn County Critical Access Hospital,-0.01
-0.05,Memorial Hospital of Carbon County,-0.009
0.00,Washakie Medical Center,0.005
0.00,South Lincoln Medical Center - CAH,0.028
0.00,Star Valley Health,0.028
0.05,Powell Valley Hospital,0.05
0.05,Johnson County Healthcare Center,0.053
0.05,Cody Regional Health,0.069
0.05,North Big Horn Hospital District,0.076
0.10,Hot Springs County Memorial Hospital,0.1
0.10,Crook County Hospital,0.103
0.10,Weston County Health Services,0.11
0.10,Memorial Hospital of Converse County,0.113
0.20,Niobrara Health & Life Center,0.222
-0.05,Allina Health Faribault Medical Center,-0.036
-0.05,Northfield City Hospital,-0.018
0.00,University Medical Center-Mesabi/ Mesaba Clinics,0.005
0.00,Essentia Health Virginia,0.024
0.00,Cambridge Medical Center,0.035
0.00,Mayo Clinic Health System - Red Wing,0.04
0.00,Owatonna Hospital,0.04
0.05,M Health Fairview Northland Medical Center,0.062
0.10,M Health Fairview Lakes Medical Center,0.141
0.00,Cameron Regional Medical Center,0.009
0.05,Pemiscot County Memorial Hospital,0.056
0.05,SoutheastHealth Center of Stoddard County,0.074
0.20,Mercy Hospital Washington,0.207
-0.20,Highland Community  Hospital,-0.154
-0.10,Panola Medical Center,-0.095
-0.10,Baptist Memorial Hospital Booneville,-0.061
-0.05,Marion General Hospital,-0.045
-0.05,University of Mississippi Medical Center- Grenada,-0.016
-0.05,Tishomingo Health Services Inc,-0.014
0.00,OCH Regional Medical Center,0.003
0.00,Jasper General Hospital,0.027
0.00,Magee General Hospital,0.031
0.00,Yalobusha General Hospital,0.045
0.05,North Mississippi Medical Center-Gilmore Amory,0.06
0.05,North Mississippi Medical Center-West Point,0.071
0.10,Trace Regional Hospital and Swing Bed,0.112
0.15,Baptist Memorial Hospital Union County,0.157
0.20,Beacham Memorial Hospital,0.243
-0.10,Person Memorial Hospital,-0.097
-0.10,UNC Rockingham,-0.068
-0.05,Mission Hospital McDowell,-0.028
-0.05,Northern Regional Hospital,-0.02
-0.05,Wilkes Regional Medical Center,-0.003
-0.05,Central Carolina Hospital,-0.003
0.00,Maria Parham Medical Center,0.004
0.00,Hugh Chatham Memorial Hospital,0.022
0.00,Sampson Regional Medical Center,0.023
0.00,Johnston Health,0.032
0.00,Betsy Johnson Regional  Hospital,0.037
0.00,Vidant Edgecombe Hospital,0.044
0.00,Harris Regional Hospital,0.048
0.05,Granville Health Systems,0.064
0.05,Vidant Duplin  Hospital,0.076
0.10,Scotland Memorial Hospital,0.101
0.10,Atrium Health Anson,0.11
0.10,Novant Health Brunswick Medical Center,0.127
0.25,Atrium Health Stanly,0.296
0.40,Atrium Health Lincoln,0.445
0.00,Mary Lanning Healthcare,0.009
0.55,Kearney Regional Medical Center,0.56
0.00,Concord Hospital,0.038
0.05,Roosevelt General Hospital,0.061
0.10,Lovelace Regional Hospital - Roswell,0.112
0.15,Plains Regional Medical Center,0.161
-0.25,"Westfield Memorial Hospital, Inc",-0.213
-0.10,Ira Davenport Memorial Hospital,-0.094
-0.10,UPMC Chautauqua at WCA,-0.083
-0.05,"Rome Memorial Hospital, Inc",-0.046
-0.05,St Mary's Healthcare,-0.042
-0.05,Nathan Littauer Hospital,-0.042
-0.05,Bertrand Chaffee Hospital,-0.034
-0.05,Oneida Health,-0.022
-0.05,Geneva General Hospital,-0.021
-0.05,Nicholas H Noyes Memorial Hospital,-0.004
0.00,Newark-Wayne Community Hospital,0.01
0.00,United Memorial Medical Center,0.02
0.05,Bon Secours Community Hospital,0.077
0.05,Northern Dutchess Hospital,0.099
0.15,Corning Hospital,0.19
-0.05,Van Wert County Hospital,-0.004
0.00,Fairfield Medical Center,0.003
0.00,Berger Hospital,0.011
0.00,Mercer County Joint Township Community Hospital,0.023
0.00,Mercy Health - Defiance Hospital,0.034
0.00,Clinton Memorial Hospital,0.045
0.05,Bellevue Hospital,0.061
0.05,Wayne Hospital,0.065
0.05,McCullough-Hyde Memorial Hospital,0.072
0.05,Alliance Community Hospital,0.086
0.05,Grand Lake Health System,0.088
0.10,Wood County Hospital,0.1
0.10,Salem Regional Medical Center,0.102
0.10,Pomerene Hospital,0.103
0.10,University Hospitals Samaritan Medical Center,0.111
0.10,Memorial Hospital,0.118
0.10,Wilson Memorial Hospital,0.14
0.15,Madison Health,0.185
0.15,East Liverpool City Hospital,0.189
0.25,Kings Daughters Medical Center Ohio,0.295
0.30,Mercy Health - Tiffin Hospital,0.341
-0.25,Hillcrest Hospital Cushing,-0.226
-0.10,Hillcrest Hospital Henryetta,-0.094
-0.10,Memorial Hospital,-0.081
-0.10,Muscogee (Creek) Nation Medical Center,-0.065
-0.05,Pushmataha County Town of Antlers Hospital,-0.034
-0.05,Integris Bass Baptist Health Center,-0.031
-0.05,Alliancehealth Seminole,-0.014
0.00,Lindsay Municipal Hospital,0.014
0.00,Wagoner Community Hospital,0.014
0.00,St Mary's Regional Medical Center,0.015
0.10,Hillcrest Hospital Pryor,0.12
0.10,Hillcrest Hospital Claremore,0.14
0.15,"Saint Francis Hospital Vinita, Inc",0.184
0.30,Choctaw Memorial Hospital,0.342
-0.05,Legacy Silverton Medical Center,-0.036
0.05,Willamette Valley Medical Center,0.064
0.15,Providence Newberg Medical Center,0.177
-0.15,UPMC Horizon,-0.103
-0.05,Chan Soon- Shiong Medical Center at Windber,-0.043
-0.05,Grove City Hospital,-0.024
0.00,Washington Health System Greene,0.03
0.05,Butler Memorial Hospital,0.077
0.05,Warren General Hospital,0.096
0.15,Geisinger St. Luke's  Hospital,0.161
0.20,St Luke's Miners Memorial Hospital,0.239
-0.35,MUSC Health Marion Medical Center,-0.336
